Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
0,95.51,85.93,94.23,95.32,606.68,1532.15,1890.83,3,7,2,0,1,4,(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-)
1,82.43,12.43,83.12,82.23,3520.97,136227.67,9517.5,2,70,0,61,9,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-)
2,92.7,71.43,92.45,92.53,1324.25,9176.38,4467.54,2,20,10,0,10,0,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
3,89.03,13.93,87.39,88.64,2680.64,63032.22,9946.53,4,54,4,38,2,10,(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-)
4,94.09,38.54,90.55,93.3,1320.08,26502.43,4025.32,4,28,9,4,9,6,(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-)
5,97.48,52.2,95.11,97.51,1046.52,5183.07,2036.43,4,12,1,4,4,3,(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-)
6,83.05,7.4,83.57,83.26,2867.21,152212.75,8971.39,4,72,6,60,3,3,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-)
7,85.59,13.53,86.43,86.2,3165.57,58919.59,7330.86,3,56,1,53,2,0,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-)
8,82.75,11.09,82.95,82.83,3623.06,113469.47,10601.49,4,77,6,59,6,6,(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-)
9,86.76,14.0,85.64,85.83,3058.76,104811.63,13585.48,4,67,5,44,8,10,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-)
10,92.22,80.65,90.28,92.09,1259.25,3598.46,1910.69,3,12,2,0,7,3,(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-)
11,82.23,16.45,82.68,82.38,3369.0,97311.85,7287.23,2,61,2,59,0,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-)
12,97.88,38.08,96.91,97.45,916.23,3958.83,1655.44,3,13,2,8,3,0,(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-)
13,86.28,9.79,84.31,85.16,3334.29,66400.35,9189.24,3,73,9,56,0,8,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-)
14,87.89,20.66,87.2,87.63,2735.33,61374.34,6393.33,3,56,0,44,6,6,(emnist:1-2-3-4-5-6-8-9-10-11-14-16-18-19-20-21-22-23-24-25-26-28-29-31-32-34-35-36-37-38-39-40-41-42-43-46-50-52-54-55-57-58-60-61-)(fmnist:0-2-3-4-6-9-)(kmnist:1-2-3-4-5-8-)
15,92.34,18.82,93.02,93.45,1683.78,19703.81,6083.71,3,32,4,22,6,0,(emnist:1-2-5-9-11-12-13-14-20-23-26-28-30-33-35-38-40-41-43-46-52-58-)(fmnist:0-1-3-4-5-9-)(mnist:1-5-6-9-)
16,83.24,11.62,83.63,83.16,3159.53,52502.22,10662.27,2,64,0,54,10,0,(emnist:0-1-2-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-33-35-37-38-39-40-41-42-44-45-46-47-48-49-50-51-52-53-55-56-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)
17,93.75,43.42,90.59,92.82,1252.84,17468.04,4807.14,4,27,7,5,6,9,(emnist:9-13-23-40-59-)(fmnist:1-2-3-4-6-9-)(kmnist:0-1-2-4-5-6-7-8-9-)(mnist:0-3-4-6-7-8-9-)
18,82.84,12.69,81.9,81.67,3785.06,121198.61,14870.43,3,81,0,62,10,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-8-9-)
19,86.71,7.84,87.43,87.41,2770.35,104716.82,6655.15,3,60,6,52,2,0,(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-)
20,83.65,11.49,84.68,84.7,2695.76,58139.56,5006.63,3,49,2,43,4,0,(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-)
21,89.32,33.99,89.96,90.36,1546.31,23036.07,4218.78,2,31,2,29,0,0,(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-)
22,99.17,85.74,99.47,99.5,582.58,885.75,329.96,4,4,1,1,1,1,(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-)
23,92.78,33.58,92.06,93.38,1154.64,15885.92,2191.84,4,19,4,4,7,4,(emnist:2-7-36-61-)(fmnist:0-1-2-4-5-6-9-)(kmnist:0-4-7-8-)(mnist:1-2-3-9-)
24,94.56,69.54,94.3,94.78,721.21,4585.98,3538.1,2,15,6,0,9,0,(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:2-3-4-5-7-8-)
25,91.69,74.53,91.57,91.77,799.02,4509.04,3103.55,2,14,6,0,8,0,(fmnist:0-1-2-3-4-6-7-8-)(mnist:1-2-4-5-6-7-)
26,94.26,54.51,93.73,94.2,884.13,5859.29,1211.97,3,13,3,3,7,0,(emnist:15-36-43-)(fmnist:0-1-2-3-6-7-8-)(mnist:0-2-4-)
27,98.55,56.45,98.22,98.86,848.74,1622.2,585.15,2,5,0,3,0,2,(emnist:14-41-47-)(kmnist:0-1-)
28,88.39,13.73,87.08,87.67,3244.55,102744.3,11538.13,4,63,3,40,10,10,(emnist:0-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-31-33-34-37-39-42-45-47-49-50-51-52-53-55-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-9-)
29,88.52,12.88,89.63,90.01,2031.72,35151.15,6266.31,3,47,9,36,2,0,(emnist:0-1-3-6-7-8-9-10-14-15-16-20-21-22-27-28-30-32-33-34-35-37-38-41-42-43-45-47-48-49-51-52-53-54-57-58-)(fmnist:1-7-)(mnist:0-1-2-3-4-5-6-7-9-)
30,97.95,40.14,97.28,99.37,360.99,1012.41,626.77,2,4,1,3,0,0,(emnist:29-30-58-)(mnist:2-)
31,83.17,11.73,82.0,82.01,3341.08,122735.08,14389.64,4,87,10,61,7,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-2-3-4-6-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
32,94.99,45.01,92.58,94.4,1097.23,14467.97,2282.3,4,20,5,3,3,9,(emnist:4-6-45-)(fmnist:2-4-9-)(kmnist:0-1-2-3-4-6-7-8-9-)(mnist:0-1-4-5-7-)
33,97.44,44.03,94.08,98.42,894.77,2287.75,786.43,4,6,1,2,1,2,(emnist:24-61-)(fmnist:4-)(kmnist:2-7-)(mnist:0-)
34,92.57,25.62,91.89,93.65,1389.13,18866.71,3636.75,2,24,0,16,0,8,(emnist:0-2-6-23-26-31-32-37-38-41-44-46-50-51-55-59-)(kmnist:0-1-2-3-6-7-8-9-)
35,97.67,41.05,95.38,97.9,1099.24,6872.6,4031.87,4,19,9,6,1,3,(emnist:2-22-23-29-31-53-)(fmnist:8-)(kmnist:0-2-8-)(mnist:0-1-2-3-4-5-7-8-9-)
36,86.0,16.02,84.47,85.52,3625.26,93117.28,11069.8,4,70,9,44,8,9,(emnist:0-2-3-4-5-6-8-11-12-13-14-15-16-17-21-22-24-25-26-27-28-30-33-34-35-37-38-39-40-41-43-44-45-46-47-48-50-51-53-56-57-58-60-61-)(fmnist:0-1-2-4-6-7-8-9-)(kmnist:0-1-2-3-5-6-7-8-9-)(mnist:0-1-2-4-5-6-7-8-9-)
37,98.17,71.71,97.21,98.11,563.42,1795.58,1633.16,2,9,5,4,0,0,(emnist:17-42-48-54-)(mnist:1-3-6-8-9-)
38,91.76,64.78,92.67,92.81,2094.45,32734.42,4689.01,2,37,0,36,0,1,(emnist:1-2-3-4-5-7-8-9-10-11-12-15-16-17-20-21-23-24-25-26-28-29-33-35-36-40-41-43-48-50-51-53-56-58-59-60-)(kmnist:6-)
39,88.4,78.57,86.49,87.79,1321.16,5687.09,3444.08,2,18,0,0,10,8,(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-3-4-5-6-7-9-)
40,97.32,42.52,96.63,97.57,547.69,4040.41,801.18,4,7,1,1,1,4,(emnist:1-)(fmnist:3-)(kmnist:0-4-7-8-)(mnist:2-)
41,82.92,11.41,82.98,83.67,3003.58,102590.1,11442.69,4,68,9,52,3,4,(emnist:0-1-3-4-5-6-9-10-11-12-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-42-43-44-45-46-47-48-49-50-53-54-55-56-57-58-59-60-61-)(fmnist:1-5-8-)(kmnist:1-4-5-6-)(mnist:0-1-2-3-4-5-6-8-9-)
42,93.5,25.51,91.2,93.13,1812.57,22241.13,5200.0,4,35,4,17,5,9,(emnist:3-8-10-12-18-21-23-24-25-29-30-38-43-48-49-52-60-)(fmnist:2-5-6-7-9-)(kmnist:1-2-3-4-5-6-7-8-9-)(mnist:1-3-6-9-)
43,93.72,39.89,91.49,93.93,1075.65,10040.88,1737.63,3,20,0,11,2,7,(emnist:0-13-19-26-35-39-44-46-48-56-58-)(fmnist:3-6-)(kmnist:0-1-4-5-6-8-9-)
44,83.95,13.62,83.52,83.52,3152.52,65398.61,6508.13,3,59,2,51,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-15-16-18-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-46-47-48-49-50-51-54-55-56-57-58-59-61-)(kmnist:1-2-4-5-8-9-)(mnist:4-7-)
45,91.68,23.62,90.34,91.37,1662.66,46112.17,7645.87,4,34,3,22,4,5,(emnist:2-5-13-14-17-20-22-24-27-28-30-31-33-37-38-42-43-47-53-54-56-58-)(fmnist:2-3-6-7-)(kmnist:2-3-4-8-9-)(mnist:3-7-8-)
46,93.36,29.85,93.75,93.65,1420.42,12528.18,3241.43,2,21,0,12,9,0,(emnist:4-5-7-19-20-38-42-46-49-51-52-60-)(fmnist:0-1-2-3-5-6-7-8-9-)
47,91.54,21.99,92.28,92.49,2274.5,23808.08,4508.14,2,34,3,31,0,0,(emnist:2-3-4-5-7-9-15-16-20-22-24-25-27-28-31-32-33-37-39-40-42-43-46-49-54-55-56-57-59-60-61-)(mnist:5-6-9-)
48,97.24,71.1,96.27,97.44,526.93,4442.71,825.98,3,10,4,0,2,4,(fmnist:0-9-)(kmnist:0-3-4-5-)(mnist:1-2-5-7-)
49,88.15,29.21,86.04,87.75,1140.68,11838.83,5284.1,3,23,0,14,2,7,(emnist:11-12-16-18-21-29-36-37-44-47-50-51-54-55-)(fmnist:3-6-)(kmnist:0-1-2-3-4-6-9-)
50,84.78,12.68,84.31,85.11,2780.05,53257.9,6099.8,3,56,3,47,0,6,(emnist:0-1-2-3-5-8-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-29-31-32-34-35-37-38-39-41-42-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(kmnist:0-1-2-3-8-9-)(mnist:0-4-7-)
51,92.25,15.15,90.73,91.28,1987.37,38207.25,5458.19,2,45,0,36,0,9,(emnist:0-2-3-6-7-8-9-10-11-12-16-17-20-23-25-28-29-31-32-34-37-39-40-41-42-44-45-48-49-54-55-56-57-59-60-61-)(kmnist:0-1-3-4-5-6-7-8-9-)
52,88.64,71.92,86.51,88.18,1151.21,6504.52,3345.64,3,17,1,0,9,7,(fmnist:0-1-2-3-4-5-6-7-9-)(kmnist:0-1-3-4-5-7-8-)(mnist:5-)
53,83.13,7.55,82.94,82.66,3665.62,108134.53,8445.51,3,69,6,62,0,1,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:3-)(mnist:0-2-4-6-8-9-)
54,87.31,48.66,87.79,87.8,1740.64,22159.44,5547.82,2,31,0,29,2,0,(emnist:0-3-4-5-8-10-12-13-18-21-22-24-26-28-29-31-34-35-37-40-41-48-49-52-53-57-58-60-61-)(fmnist:0-7-)
55,94.28,87.73,92.92,94.43,908.61,3184.03,1604.57,2,10,0,0,5,5,(fmnist:0-3-5-7-9-)(kmnist:3-4-5-8-9-)
56,99.14,75.35,99.11,99.25,448.36,1736.5,958.39,2,7,4,0,3,0,(fmnist:3-7-8-)(mnist:1-2-3-9-)
57,96.15,76.96,93.08,95.69,940.29,6552.49,4255.23,2,15,10,0,0,5,(kmnist:4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
58,89.66,36.88,91.43,91.78,1292.16,16082.53,4445.32,3,22,4,9,9,0,(emnist:1-18-20-29-31-33-40-58-59-)(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:3-4-5-6-)
59,86.38,10.48,86.28,86.2,3011.11,112726.88,5309.69,4,67,7,52,5,3,(emnist:0-1-2-3-4-5-7-8-9-10-12-13-15-16-17-18-19-20-21-23-25-26-27-28-29-32-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-58-60-61-)(fmnist:3-4-5-6-7-)(kmnist:0-1-7-)(mnist:1-3-4-5-6-7-9-)
60,98.24,97.41,98.39,98.38,638.26,2798.94,2776.54,2,10,9,0,1,0,(fmnist:1-)(mnist:0-1-2-3-4-5-6-7-8-)
61,97.24,35.37,96.65,97.54,898.29,7282.33,2137.07,4,15,3,5,5,2,(emnist:7-8-12-19-53-)(fmnist:2-4-5-7-9-)(kmnist:2-4-)(mnist:0-5-9-)
62,94.43,56.52,91.73,94.44,705.38,1667.96,1306.27,2,10,0,5,0,5,(emnist:16-26-39-51-57-)(kmnist:0-1-4-8-9-)
63,96.31,76.52,96.03,96.37,833.62,4310.03,2203.95,2,16,10,0,6,0,(fmnist:1-4-5-6-7-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
64,86.29,11.13,86.23,86.51,2663.69,48820.04,7513.24,4,57,9,46,1,1,(emnist:0-1-2-3-4-5-7-8-11-12-13-15-16-17-18-19-20-23-25-27-28-29-30-33-34-35-37-39-40-41-42-43-44-45-47-48-49-50-51-54-56-57-58-59-60-61-)(fmnist:0-)(kmnist:0-)(mnist:0-1-2-3-5-6-7-8-9-)
65,99.0,89.86,98.9,99.1,303.99,1121.33,448.13,2,5,3,0,2,0,(fmnist:2-8-)(mnist:2-4-8-)
66,97.92,33.86,97.58,97.85,424.28,6946.13,995.31,3,9,2,2,5,0,(emnist:0-8-)(fmnist:2-5-6-8-9-)(mnist:3-4-)
67,91.28,15.0,90.16,91.61,1749.15,34996.31,9484.18,3,42,5,29,0,8,(emnist:0-1-2-3-4-6-10-15-16-17-19-21-22-31-36-37-38-39-41-44-48-50-51-52-53-55-58-59-60-)(kmnist:0-1-2-3-4-5-7-9-)(mnist:0-5-7-8-9-)
68,83.21,11.23,81.75,82.11,4567.98,154179.71,16785.8,4,90,8,62,10,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-9-)
69,97.17,33.44,97.24,98.11,608.77,5251.1,2066.52,2,11,4,7,0,0,(emnist:4-7-10-15-21-30-34-)(mnist:0-1-5-8-)
70,86.92,11.39,86.68,86.92,3062.19,80162.57,9928.24,4,63,2,47,9,5,(emnist:0-1-3-4-5-6-7-8-9-10-11-13-14-15-16-19-20-21-22-24-26-27-29-30-31-32-34-35-36-38-39-40-41-42-43-45-48-49-50-51-52-55-56-57-58-60-61-)(fmnist:0-1-2-4-5-6-7-8-9-)(kmnist:2-4-6-8-9-)(mnist:1-2-)
71,83.04,10.63,82.08,82.21,3723.06,120297.19,9091.02,4,86,8,61,7,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:2-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:1-2-3-4-5-6-8-9-)
72,96.23,38.06,94.68,96.4,1416.31,20553.47,6187.96,4,27,7,8,8,4,(emnist:3-8-12-28-30-34-43-58-)(fmnist:1-2-3-4-5-7-8-9-)(kmnist:0-5-6-9-)(mnist:0-1-3-4-7-8-9-)
73,96.92,61.93,95.82,97.36,944.52,3319.73,2663.98,4,11,1,3,4,3,(emnist:25-27-44-)(fmnist:5-6-7-8-)(kmnist:0-5-8-)(mnist:3-)
74,98.21,34.6,97.79,98.43,332.64,1502.79,466.3,2,5,0,2,0,3,(emnist:7-54-)(kmnist:5-7-9-)
75,99.15,37.6,99.13,99.33,516.01,4417.21,1407.99,3,9,2,6,1,0,(emnist:1-3-16-22-34-57-)(fmnist:8-)(mnist:1-3-)
76,82.92,33.34,84.06,83.85,2533.26,48642.22,5204.42,2,52,0,46,6,0,(emnist:1-2-4-5-7-10-14-15-17-18-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-50-51-52-53-57-58-59-60-61-)(fmnist:0-2-4-6-7-9-)
77,90.32,65.61,87.33,89.13,1241.12,10185.35,3759.29,3,26,8,0,9,9,(fmnist:0-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:1-3-4-5-6-7-8-9-)
78,83.79,18.3,82.94,83.58,2097.49,40744.89,7357.6,2,41,0,34,0,7,(emnist:0-1-3-5-7-8-9-10-11-13-18-22-23-24-25-27-28-29-30-32-33-34-36-38-41-43-47-50-51-54-55-56-57-60-)(kmnist:1-2-4-6-7-8-9-)
79,87.6,20.24,87.94,88.25,2430.68,88381.76,5265.03,3,45,0,36,5,4,(emnist:0-1-2-3-5-7-8-9-10-12-14-15-18-19-20-23-25-26-27-28-30-31-32-34-36-38-43-45-47-48-49-50-54-55-59-60-)(fmnist:3-4-6-7-8-)(kmnist:1-3-4-8-)
80,90.65,14.86,91.07,91.21,2464.19,77328.98,8482.31,3,48,7,35,6,0,(emnist:1-2-3-4-6-9-12-16-19-22-23-24-26-27-30-31-32-34-35-37-38-39-40-42-44-46-48-49-51-52-53-55-57-59-61-)(fmnist:2-3-4-6-7-9-)(mnist:1-3-4-6-7-8-9-)
81,84.51,10.95,83.13,84.07,3777.85,95605.64,12978.32,3,74,10,55,0,9,(kmnist:0-1-2-3-4-5-6-7-9-)(emnist:0-1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-49-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)
82,95.3,29.26,92.0,94.68,1506.05,30611.87,3999.29,4,28,8,8,3,9,(fmnist:4-6-9-)(kmnist:0-1-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-7-8-9-)(emnist:6-8-12-15-40-43-55-58-)
83,83.4,10.75,82.06,82.45,3802.78,203630.05,14201.63,4,82,7,62,5,8,(mnist:0-1-2-3-6-7-9-)(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:2-3-4-5-6-7-8-9-)(fmnist:0-1-3-6-8-)
84,83.29,11.05,81.85,82.34,3752.7,145196.34,19494.39,4,82,5,57,10,10,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-5-6-9-)(emnist:0-1-3-4-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)
85,94.32,91.5,92.72,94.26,628.93,2016.22,1440.77,2,8,2,0,0,6,(mnist:0-1-)(kmnist:0-1-2-7-8-9-)
86,83.66,10.41,83.38,83.21,3967.0,109175.81,17587.05,3,80,10,62,8,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)(fmnist:0-1-2-3-4-5-8-9-)
87,83.41,9.13,82.34,82.76,3855.52,101507.71,10552.04,3,76,9,61,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-7-8-9-)(kmnist:1-2-4-6-7-9-)
88,94.5,74.48,91.78,93.65,1404.57,7157.37,2634.68,2,14,6,0,0,8,(kmnist:0-1-3-4-5-6-7-8-)(mnist:0-1-2-4-7-9-)
89,92.95,49.95,91.48,93.38,822.91,5619.14,2227.76,4,14,5,1,7,1,(fmnist:0-1-2-4-6-7-9-)(kmnist:7-)(emnist:24-)(mnist:0-2-3-5-6-)
90,96.93,92.5,97.13,98.4,204.12,684.99,389.54,2,3,0,0,1,2,(kmnist:5-9-)(fmnist:0-)
91,93.87,75.67,91.68,92.97,860.13,3753.96,2401.44,2,14,5,0,0,9,(mnist:0-1-3-6-8-)(kmnist:0-1-3-4-5-6-7-8-9-)
92,83.82,12.6,82.81,82.82,3366.64,97195.04,12755.51,3,79,0,60,9,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-59-60-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(fmnist:0-1-3-4-5-6-7-8-9-)
93,83.25,13.56,83.17,84.09,2816.48,80396.7,9452.65,3,59,6,43,0,10,(kmnist:0-1-2-3-4-5-6-7-8-9-)(emnist:0-1-2-3-5-6-9-11-13-14-15-17-19-20-21-22-23-24-25-28-29-31-33-34-35-36-38-39-40-43-45-46-47-48-50-51-52-56-57-58-59-60-61-)(mnist:0-1-3-6-8-9-)
94,91.66,25.09,91.09,91.62,1831.81,18186.7,4935.0,3,35,0,24,10,1,(kmnist:9-)(emnist:8-9-10-11-13-17-19-20-23-24-25-26-27-33-39-40-41-46-51-52-57-58-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)
95,92.97,61.15,88.76,91.26,1135.84,6147.39,3554.25,3,21,7,4,0,10,(kmnist:0-1-2-3-4-5-6-7-8-9-)(emnist:11-41-51-59-)(mnist:0-2-3-4-5-8-9-)
96,93.46,44.86,89.53,93.0,1758.91,20991.33,7488.07,4,25,6,3,8,8,(mnist:1-2-4-6-7-9-)(fmnist:1-2-3-4-5-6-8-9-)(kmnist:0-1-2-3-4-6-8-9-)(emnist:4-39-55-)
97,89.08,22.86,90.11,90.13,2170.36,42034.58,5469.25,2,43,2,41,0,0,(emnist:1-4-6-7-8-9-10-11-12-14-16-17-18-19-20-21-22-23-27-28-29-32-33-35-36-38-39-41-43-45-48-49-50-51-52-53-54-55-56-58-61-)(mnist:0-3-)
98,93.97,21.74,92.67,94.93,1693.81,23972.5,3574.83,3,28,7,17,0,4,(kmnist:2-3-5-7-)(mnist:0-1-3-4-7-8-9-)(emnist:2-4-12-17-18-19-22-24-30-40-41-49-50-53-57-58-60-)
99,85.67,17.34,85.01,86.06,2201.82,41717.38,6459.74,2,42,0,32,0,10,(emnist:1-3-4-8-9-10-11-13-16-17-18-21-22-23-26-28-31-33-38-42-47-48-49-50-51-52-53-55-56-58-59-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)
