Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Training Time,Inference Time
0,0.8698704946,0.8082819075,0.7612114012,0.7567521707,0.9967823869,33.30197787,6.58E-05
1,0.8723001137,0.7950097215,0.7730656249,0.7756566849,0.9965534859,62.4356699,5.25E-05
2,0.8815925543,0.818551628,0.7960829641,0.7886909722,0.9976911245,41.03692436,7.79E-05
3,0.8972586962,0.8545952715,0.844414543,0.8458388595,0.9965753843,20.50808883,6.40E-05
4,0.9684210526,0.9031049498,0.8937561176,0.8867025986,0.9976271428,5.147987127,5.92E-05
5,0.8678731582,0.8179453588,0.7741081909,0.7741504817,0.9971906943,75.66869473,7.33E-05
6,0.8700737808,0.8094220019,0.7714212051,0.7748150194,0.9968112189,77.5937109,8.24E-05
7,0.8906825759,0.7646351252,0.7565199251,0.7520062533,0.9971657403,40.98753738,6.84E-05
8,0.9682080925,0.947330607,0.9160238454,0.9259063697,0.9940841127,18.51538754,0.0001330044917
9,0.8732193732,0.8403790935,0.8060171714,0.8072802041,0.9972726923,22.09616828,7.20E-05
10,0.93224149,0.9127374839,0.870600506,0.8762203151,0.9976430506,9.486195326,6.70E-05
11,0.876469586,0.8078114669,0.7706880404,0.7671385189,0.9959970057,40.99047542,6.68E-05
12,0.9154065308,0.8691917655,0.8565589117,0.8578453405,0.9977841423,46.40680242,0.0001591709709
13,0.9386873921,0.9121227119,0.8990770429,0.9003173169,0.9983215351,9.049986601,0.0001034368093
14,0.9814814815,0.9705610022,0.97,0.9697942137,0.9991722408,18.80400324,0.0001862045423
15,0.9755395683,0.9631272145,0.9655191285,0.9631819814,0.9993174812,24.02524781,8.41E-05
16,0.9550295858,0.9574938458,0.9551901887,0.9552881374,0.9990029542,7.850127697,0.000118340543
17,0.9548095546,0.8925636435,0.856946183,0.8585746813,0.9983762546,10.26895571,8.15E-05
18,0.9377643505,0.9031423201,0.8587011859,0.8627818992,0.9980081324,9.359061003,7.52E-05
19,1,1,1,1,1,0.1379256248,0.0003355369877
20,0.8994832041,0.8389767204,0.8425171809,0.8372513191,0.9975294264,54.01218271,6.16E-05
21,0.8656411866,0.784970587,0.7738789976,0.768737237,0.9969103586,69.95325518,6.99E-05
22,0.9892818864,0.9875469047,0.9820050633,0.9846632392,0.9999135907,0.8627898693,9.65E-05
23,0.89001657,0.794259592,0.7581476109,0.7597048005,0.996103749,21.37863898,6.14E-05
24,1,1,1,1,1,3.096451998,0.0002678217072